foodId,label,category,foodContentsLabel,image
6111037000599,Familia 200g,"en:plant-based-foods-and-beverages, en:dairies, en:plant-based-foods, en:fats, en:spreads, en:plant-based-spreads, en:vegetable-fats, en:spreadable-fats, en:animal-fats, en:dairy-spreads, en:margarines, en:milkfat, en:butters","Margarine allégée (60%M.G.):Corps gras et huiles 100% végétales, eau, sel (1%), lécithine (E322), Monoglycéride (E471), Amidon, Sorbate de potassium (E202), Acide citrique (E330), Arôme, Antioxydant (E321), Colorant, Vitamines. Contient du soja.",https://images.openfoodfacts.org/images/products/611/103/700/0599/front_fr.31.400.jpg
6111242105331,Beurre Frais Pasteurisé,"en:dairies, en:fats, en:spreads, en:spreadable-fats, en:animal-fats, en:dairy-spreads, en:milkfat, en:butters, en:pasteurized-butters",Beurre pasteurisé à 82% de matière grasse laitière,https://images.openfoodfacts.org/images/products/611/124/210/5331/front_fr.22.400.jpg
3451790988677,Le Beurre Tendre Doux,"en:dairies, en:fats, en:spreads, en:spreadable-fats, en:animal-fats, en:dairy-spreads, en:milkfat, en:butters, en:unsalted-butters, en:sweet-cream-butters, en:butter-82-fat-unsalted-easy-to-spread, fr:beurres-tendres","cream (origin france), milk fat , lactic ferments,",https://images.openfoodfacts.org/images/products/345/179/098/8677/front_en.186.400.jpg
6111099005396,مارغرين المائدة,"en:plant-based-foods-and-beverages, en:dairies, en:plant-based-foods, en:fats, en:spreads, en:plant-based-spreads, en:salted-spreads, en:vegetable-fats, en:spreadable-fats, en:animal-fats, en:dairy-spreads, en:margarines, en:milkfat, en:butters","huile végétale non hydrogénée, eau, lait écrémé en poudre, sel, émulsifiants (E322, lécithine de tournesol, E476, E471), conservateurs (E202, E330), colorant (E160a), vitamines A, D, E",https://images.openfoodfacts.org/images/products/611/109/900/5396/front_ar.17.400.jpg
6111203007520,tartine la Prairie classique 450g,"en:plant-based-foods-and-beverages, en:dairies, en:plant-based-foods, en:fats, en:spreads, en:plant-based-spreads, en:vegetable-fats, en:spreadable-fats, en:animal-fats, en:dairy-spreads, en:margarines, en:milkfat, en:butters","Corps gras végétal, eau, sucre, sel, مادة دسمة نباتية، ماء ، سكر، ملح مستحلب : أحادي وثنائي كلسريد نباتي ليستين الصوجا Emulsifiant : mono-diglycerides végétales كالسيوم، نشأ الذرة مادة حافضة : سوربات lécithine de soja, calcium, amidon البوتاسيوم مادة مضادة للأكسدة، E321 Conservateur: sorbate de potassium, arôme beurre, Colorant: B-carotène, 7 vitamines: A, B6, B2, B1, E, D et B12. محمض : حامض الستريك نكهة الزبدة ، ملون, antioxydant : E 321 Acidifiant : acide citrique بيتا كاروتين 7 فيتامينات : D، E ، B1، B2 ، B6 A ، و B12. أنتج بتاريخ (P) ويستحسن الإستهلاك قبل (E) : أنظر فوق الغطاء. ا قد يحتوي على Date de Production (P) et",https://images.openfoodfacts.org/images/products/611/120/300/7520/front_fr.26.400.jpg
3155251205500,Beurre doux gastronomique,"en:dairies, en:fats, en:spreads, en:spreadable-fats, en:animal-fats, en:dairy-spreads, en:milkfat, en:butters, en:unsalted-butters, en:pasteurized-butters, en:sweet-cream-butters","Beurre (lait) (origine crème : France),",https://images.openfoodfacts.org/images/products/315/525/120/5500/front_fr.227.400.jpg
3523230030793,Beurre demi sel aux cristaux de Sel de Mer de Noirmoutier,"en:dairies, en:fats, en:spreads, en:spreadable-fats, en:animal-fats, en:dairy-spreads, en:milkfat, en:butters, en:half-salted-butter, en:molded-butters, en:pasteurized-butters","_Crème_ pasteurisée (origine France), sel ajouté 3% dont 2% de cristaux de sel marin de Noirmoutier, ferments lactiques (dont _lait_)",https://images.openfoodfacts.org/images/products/352/323/003/0793/front_en.24.400.jpg
3155251205524,Beurre Tendre Doux,"en:dairies, en:fats, en:spreads, en:spreadable-fats, en:animal-fats, en:dairy-spreads, en:milkfat, en:butters, en:butter-fat, en:unsalted-butters, en:sweet-cream-butters","Beurre (lain) (crème (origine France et UE), matière grasse laitière, ferments lactiques). Nos beurres Président sont fabriqués en Normandie ou en Bretagne. En moyenne sur l'année, les crèmes utilisées sont très majoritairement françaises. Il peut arriver que nous sélectionnions des crèmes origine UE pour couvrir nos besoins sans jamais transiger sur la qualité",https://images.openfoodfacts.org/images/products/315/525/120/5524/front_fr.146.400.jpg
6111242660373,Beurre badaouia,"en:dairies, en:fats, en:spreads, en:spreadable-fats, en:animal-fats, en:dairy-spreads, en:milkfat, en:butters","8296 JY a le 3 نسبة الجوامد الصلبة الحليبية غيرالدهنية لا تزيد عن % الرطوبة لا تزيد عن %16ء تحفظ بدرجة 18. منوية قبل التوايع Ingréidients : Crème de lait de vache, matière grasse pas moins de 82%, matière laitière solide n grasse 2%, humidité pas pius de 16%",https://images.openfoodfacts.org/images/products/611/124/266/0373/front_fr.20.400.jpg
3451790988813,Le Beurre Tendre Demi-Sel Barquette,"en:dairies, en:fats, en:spreads, en:spreadable-fats, en:animal-fats, en:dairy-spreads, en:milkfat, en:butters, en:half-salted-butter, fr:beurres-tendres","CREME (Origine France), matière grasse LAITIERE, sel (2%), ferments lactiques",https://images.openfoodfacts.org/images/products/345/179/098/8813/front_en.122.400.jpg
